performance_id,date_key,store_key,temp_category_key,weekly_sales,temperature,fuel_price,cpi,unemployment,holiday_flag
1,20100205,1,2,1643690.9,42.31,2.572,211.0963582,8.106,0
2,20100212,1,2,1641957.44,38.51,2.548,211.2421698,8.106,1
3,20100219,1,2,1611968.17,39.93,2.514,211.2891429,8.106,0
4,20100226,1,2,1409727.59,46.63,2.561,211.3196429,8.106,0
5,20100305,1,2,1554806.68,46.5,2.625,211.3501429,8.106,0
6,20100312,1,3,1439541.59,57.79,2.667,211.3806429,8.106,0
7,20100319,1,3,1472515.79,54.58,2.72,211.215635,8.106,0
8,20100326,1,3,1404429.92,51.45,2.732,211.0180424,8.106,0
9,20100402,1,3,1594968.28,62.27,2.719,210.8204499,7.808,0
10,20100409,1,3,1545418.53,65.86,2.77,210.6228574,7.808,0
11,20100416,1,3,1466058.28,66.32,2.808,210.4887,7.808,0
12,20100423,1,3,1391256.12,64.84,2.795,210.4391228,7.808,0
13,20100430,1,3,1425100.71,67.41,2.78,210.3895456,7.808,0
14,20100507,1,4,1603955.12,72.55,2.835,210.3399684,7.808,0
15,20100514,1,4,1494251.5,74.78,2.854,210.3374261,7.808,0
16,20100521,1,4,1399662.07,76.44,2.826,210.6170934,7.808,0
17,20100528,1,4,1432069.95,80.44,2.759,210.8967606,7.808,0
18,20100604,1,4,1615524.71,80.69,2.705,211.1764278,7.808,0
19,20100611,1,4,1542561.09,80.43,2.668,211.4560951,7.808,0
20,20100618,1,4,1503284.06,84.11,2.637,211.4537719,7.808,0
21,20100625,1,4,1422711.6,84.34,2.653,211.3386526,7.808,0
22,20100702,1,4,1492418.14,80.91,2.669,211.2235333,7.787,0
23,20100709,1,4,1546074.18,80.48,2.642,211.108414,7.787,0
24,20100716,1,4,1448938.92,83.15,2.623,211.1003854,7.787,0
25,20100723,1,4,1385065.2,83.36,2.608,211.2351443,7.787,0
26,20100730,1,4,1371986.6,81.84,2.64,211.3699032,7.787,0
27,20100806,1,5,1605491.78,87.16,2.627,211.5046621,7.787,0
28,20100813,1,5,1508237.76,87.0,2.692,211.6394211,7.787,0
29,20100820,1,5,1513080.49,86.65,2.664,211.6033633,7.787,0
30,20100827,1,5,1449142.92,85.22,2.619,211.5673056,7.787,0
31,20100903,1,4,1540163.53,81.21,2.577,211.5312479,7.787,0
32,20100910,1,4,1507460.69,78.69,2.565,211.4951902,7.787,1
33,20100917,1,4,1430378.67,82.11,2.582,211.5224596,7.787,0
34,20100924,1,4,1351791.03,80.94,2.624,211.5972246,7.787,0
35,20101001,1,4,1453329.5,71.89,2.603,211.6719895,7.838,0
36,20101008,1,3,1508239.93,63.93,2.633,211.7467544,7.838,0
37,20101015,1,3,1459409.1,67.18,2.72,211.8137436,7.838,0
38,20101022,1,3,1345454.0,69.86,2.725,211.8612937,7.838,0
39,20101029,1,3,1384209.22,69.64,2.716,211.9088438,7.838,0
40,20101105,1,3,1551659.28,58.74,2.689,211.9563939,7.838,0
41,20101112,1,3,1494479.49,59.61,2.728,212.003944,7.838,0
42,20101119,1,3,1483784.18,51.41,2.771,211.8896737,7.838,0
43,20101126,1,3,1955624.11,64.52,2.735,211.7484333,7.838,1
44,20101203,1,2,1548033.78,49.27,2.708,211.607193,7.838,0
45,20101210,1,2,1682614.26,46.33,2.843,211.4659526,7.838,0
46,20101217,1,2,1891034.93,49.84,2.869,211.4053124,7.838,0
47,20101224,1,3,2387950.2,52.33,2.886,211.4051222,7.838,0
48,20101231,1,2,1367320.01,48.43,2.943,211.4049321,7.838,1
49,20110107,1,2,1444732.28,48.27,2.976,211.4047419,7.742,0
50,20110114,1,2,1391013.96,35.4,2.983,211.4574109,7.742,0
51,20110121,1,2,1327405.42,44.04,3.016,211.8272343,7.742,0
52,20110128,1,2,1316899.31,43.83,3.01,212.1970577,7.742,0
53,20110204,1,2,1606629.58,42.27,2.989,212.5668812,7.742,0
54,20110211,1,2,1649614.93,36.39,3.022,212.9367046,7.742,1
55,20110218,1,3,1686842.78,57.36,3.045,213.2478853,7.742,0
56,20110225,1,3,1456800.28,62.9,3.065,213.535609,7.742,0
57,20110304,1,3,1636263.41,59.58,3.288,213.8233327,7.742,0
58,20110311,1,3,1553191.63,53.56,3.459,214.1110564,7.742,0
59,20110318,1,3,1576818.06,62.76,3.488,214.3627114,7.742,0
60,20110325,1,3,1541102.38,69.97,3.473,214.5999389,7.742,0
61,20110401,1,3,1495064.75,59.17,3.524,214.8371664,7.682,0
62,20110408,1,3,1614259.35,67.84,3.622,215.0743939,7.682,0
63,20110415,1,4,1559889.0,71.27,3.743,215.2918561,7.682,0
64,20110422,1,4,1564819.81,72.99,3.807,215.4599053,7.682,0
65,20110429,1,4,1455090.69,72.03,3.81,215.6279544,7.682,0
66,20110506,1,3,1629391.28,64.61,3.906,215.7960035,7.682,0
67,20110513,1,4,1604775.58,75.64,3.899,215.9640526,7.682,0
68,20110520,1,3,1428218.27,67.63,3.907,215.7339202,7.682,0
69,20110527,1,4,1466046.67,77.72,3.786,215.5037878,7.682,0
70,20110603,1,4,1635078.41,83.0,3.699,215.2736553,7.682,0
71,20110610,1,4,1588948.32,83.13,3.648,215.0435229,7.682,0
72,20110617,1,5,1532114.86,86.41,3.637,214.9980596,7.682,0
73,20110624,1,4,1438830.15,83.58,3.594,215.0910982,7.682,0
74,20110701,1,5,1488538.09,85.55,3.524,215.1841368,7.962,0
75,20110708,1,5,1534849.64,85.83,3.48,215.2771754,7.962,0
76,20110715,1,5,1455119.97,88.54,3.575,215.3611087,7.962,0
77,20110722,1,5,1396926.82,85.77,3.651,215.4222784,7.962,0
78,20110729,1,5,1352219.79,86.83,3.682,215.4834482,7.962,0
79,20110805,1,5,1624383.75,91.65,3.684,215.544618,7.962,0
80,20110812,1,5,1525147.09,90.76,3.638,215.6057878,7.962,0
81,20110819,1,5,1530761.43,89.94,3.554,215.6693107,7.962,0
82,20110826,1,5,1464693.46,87.96,3.523,215.7332258,7.962,0
83,20110902,1,5,1550229.22,87.83,3.533,215.7971409,7.962,0
84,20110909,1,4,1540471.24,76.0,3.546,215.861056,7.962,1
85,20110916,1,4,1514259.78,79.94,3.526,216.0410526,7.962,0
86,20110923,1,4,1380020.27,75.8,3.467,216.3758246,7.962,0
87,20110930,1,4,1394561.83,79.69,3.355,216.7105965,7.962,0
88,20111007,1,3,1630989.95,69.31,3.285,217.0453684,7.866,0
89,20111014,1,4,1493525.93,71.74,3.274,217.3552733,7.866,0
90,20111021,1,3,1502562.78,63.71,3.353,217.5159762,7.866,0
91,20111028,1,3,1445249.09,66.57,3.372,217.6766791,7.866,0
92,20111104,1,3,1697229.58,54.98,3.332,217.837382,7.866,0
93,20111111,1,3,1594938.89,59.11,3.297,217.9980849,7.866,0
94,20111118,1,3,1539483.7,62.25,3.308,218.2205088,7.866,0
95,20111125,1,3,2033320.66,60.14,3.236,218.4676211,7.866,1
96,20111202,1,2,1584083.95,48.91,3.172,218.7147333,7.866,0
97,20111209,1,2,1799682.38,43.93,3.158,218.9618456,7.866,0
98,20111216,1,3,1881176.67,51.63,3.159,219.1794533,7.866,0
99,20111223,1,2,2270188.99,47.96,3.112,219.3577216,7.866,0
100,20111230,1,2,1497462.72,44.55,3.129,219.5359898,7.866,1
101,20120106,1,2,1550369.92,49.01,3.157,219.7142581,7.348,0
102,20120113,1,2,1459601.17,48.53,3.261,219.8925263,7.348,0
103,20120120,1,3,1394393.84,54.11,3.268,219.9856893,7.348,0
104,20120127,1,3,1319325.59,54.26,3.29,220.0788523,7.348,0
105,20120203,1,3,1636339.65,56.55,3.36,220.1720153,7.348,0
106,20120210,1,2,1802477.43,48.02,3.409,220.2651783,7.348,1
107,20120217,1,2,1819870.0,45.32,3.51,220.4257586,7.348,0
108,20120224,1,3,1539387.83,57.25,3.555,220.636902,7.348,0
109,20120302,1,3,1688420.76,60.96,3.63,220.8480454,7.348,0
110,20120309,1,3,1675431.16,58.76,3.669,221.0591887,7.348,0
111,20120316,1,3,1677472.78,64.74,3.734,221.2118132,7.348,0
112,20120323,1,3,1511068.07,65.93,3.787,221.2864126,7.348,0
113,20120330,1,3,1649604.63,67.61,3.845,221.3610119,7.348,0
114,20120406,1,4,1899676.88,70.43,3.891,221.4356112,7.143,0
115,20120413,1,3,1621031.7,69.07,3.891,221.5102105,7.143,0
116,20120420,1,3,1521577.87,66.76,3.877,221.5640737,7.143,0
117,20120427,1,3,1468928.37,67.23,3.814,221.6179368,7.143,0
118,20120504,1,4,1684519.99,75.55,3.749,221.6718,7.143,0
119,20120511,1,4,1611096.05,73.77,3.688,221.7256632,7.143,0
120,20120518,1,4,1595901.87,70.33,3.63,221.742674,7.143,0
121,20120525,1,4,1555444.55,77.22,3.561,221.744944,7.143,0
122,20120601,1,4,1624477.58,77.95,3.501,221.7472139,7.143,0
123,20120608,1,4,1697230.96,78.3,3.452,221.7494839,7.143,0
124,20120615,1,4,1630607.0,79.35,3.393,221.7626421,7.143,0
125,20120622,1,4,1527845.81,78.39,3.346,221.8030211,7.143,0
126,20120629,1,4,1540421.49,84.88,3.286,221.8434,7.143,0
127,20120706,1,4,1769854.16,81.57,3.227,221.8837789,6.908,0
128,20120713,1,4,1527014.04,77.12,3.256,221.9241579,6.908,0
129,20120720,1,4,1497954.76,80.42,3.311,221.9327267,6.908,0
130,20120727,1,4,1439123.71,82.66,3.407,221.9412954,6.908,0
131,20120803,1,5,1631135.79,86.11,3.417,221.9498642,6.908,0
132,20120810,1,5,1592409.97,85.05,3.494,221.9584329,6.908,0
133,20120817,1,4,1597868.05,84.85,3.571,222.0384109,6.908,0
134,20120824,1,4,1494122.38,77.66,3.62,222.1719457,6.908,0
135,20120831,1,4,1582083.4,80.49,3.638,222.3054805,6.908,0
136,20120907,1,4,1661767.33,83.96,3.73,222.4390153,6.908,1
137,20120914,1,4,1517428.87,74.97,3.717,222.5820193,6.908,0
138,20120921,1,3,1506126.06,69.87,3.721,222.7818386,6.908,0
139,20120928,1,4,1437059.26,76.08,3.666,222.9816579,6.908,0
140,20121005,1,3,1670785.97,68.55,3.617,223.1814772,6.573,0
141,20121012,1,3,1573072.81,62.99,3.601,223.3812965,6.573,0
142,20121019,1,3,1508068.77,67.97,3.594,223.4257233,6.573,0
143,20121026,1,3,1493659.74,69.16,3.506,223.4442513,6.573,0
144,20100205,2,2,2136989.46,40.19,2.572,210.7526053,8.324,0
145,20100212,2,2,2137809.5,38.49,2.548,210.8979935,8.324,1
146,20100219,2,2,2124451.54,39.69,2.514,210.9451605,8.324,0
147,20100226,2,2,1865097.27,46.1,2.561,210.9759573,8.324,0
148,20100305,2,2,1991013.13,47.17,2.625,211.0067542,8.324,0
149,20100312,2,3,1990483.78,57.56,2.667,211.037551,8.324,0
150,20100319,2,3,1946070.88,54.52,2.72,210.8733316,8.324,0
151,20100326,2,3,1750197.81,51.26,2.732,210.6766095,8.324,0
152,20100402,2,3,2066187.72,63.27,2.719,210.4798874,8.2,0
153,20100409,2,3,1954689.21,65.41,2.77,210.2831653,8.2,0
154,20100416,2,3,1874957.94,68.07,2.808,210.1495463,8.2,0
155,20100423,2,3,1821990.93,65.11,2.795,210.1000648,8.2,0
156,20100430,2,3,1802450.29,66.98,2.78,210.0505833,8.2,0
157,20100507,2,4,2042581.71,71.28,2.835,210.0011018,8.2,0
158,20100514,2,4,1880752.36,73.31,2.854,209.9984585,8.2,0
159,20100521,2,4,1896937.1,74.83,2.826,210.2768443,8.2,0
160,20100528,2,4,1957113.89,81.13,2.759,210.5552301,8.2,0
161,20100604,2,4,2102539.93,81.81,2.705,210.833616,8.2,0
162,20100611,2,4,2025538.76,83.4,2.668,211.1120018,8.2,0
163,20100618,2,5,2001636.96,85.81,2.637,211.1096543,8.2,0
164,20100625,2,5,1939927.09,86.26,2.653,210.9950134,8.2,0
165,20100702,2,4,2003940.64,82.74,2.669,210.8803726,8.099,0
166,20100709,2,4,1880902.62,82.59,2.642,210.7657317,8.099,0
167,20100716,2,5,1845879.79,85.32,2.623,210.7577954,8.099,0
168,20100723,2,5,1781717.71,87.66,2.608,210.8921319,8.099,0
169,20100730,2,4,1804246.16,83.49,2.64,211.0264684,8.099,0
170,20100806,2,5,1991909.98,89.53,2.627,211.1608049,8.099,0
171,20100813,2,5,1895601.05,89.05,2.692,211.2951413,8.099,0
172,20100820,2,5,1964335.23,88.7,2.664,211.2596586,8.099,0
173,20100827,2,5,1863840.49,87.12,2.619,211.2241759,8.099,0
174,20100903,2,4,1904608.09,81.83,2.577,211.1886931,8.099,0
